ชื่อปั๊มน้ำมัน,แบรนด์,Latitude,Longitude,Google Maps Link,ห่างจากปั๊มก่อนหน้า (KM),น้องกิ๊ฟท์น้องมิ้นท์,เสี่ยโอ๊ค เห้ยโห,,,ฟังชั่นที่เเอบคิดได้สำหรับ ตัว App,Future improvement 
ปั๊มน้ำมัน พีที สูงเม่น,PT (พีที),18.06869,100.1197,https://maps.google.com/?cid=9502493535097502936&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.9,อันนี้ก็อีกฝั่งเหมือนกัน ถ้า2อันโอเคก็เปลี่ยนถูกได้เลย,U-turn ✅,,,,
PTT STATION น้ำชำสูงเม่น,PTT (ปตท),18.04134,100.1116,https://maps.google.com/?cid=1844466285744675165&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.5,✅,U-turn ✅,,,,
PTT,PTT (ปตท),18.03748,100.1106,https://maps.google.com/?cid=4859118980120440186&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.5,✅,,,,,
PT Gas Station,PT (พีที),17.97576,100.0831,https://maps.google.com/?cid=13722672855939669556&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,7.89,✅,,,,,
ปั๊ม บางจาก บมจ.ซัสโก้ สาขา แม่จั๊วะ,Bangchak (บางจาก),17.97187,100.0746,https://maps.google.com/?cid=15412837922792355894&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.18,✅,,,,,
Shell (SriMongkol Branch1),Shell (เชลล์),17.96669,100.0666,https://maps.google.com/?cid=7203687025726663421&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.11,✅,,,,,
PTT Station (Petrol+EV),PTT (ปตท),17.95658,100.0684,https://maps.google.com/?cid=12615455588200417961&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.04,✅,,,,,
ปั๊ม PT พีที ด่านนาขาม,PT (พีที),17.79567,100.1156,https://maps.google.com/?cid=17680718805345220336&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,23.2,✅,,,,,
สถานีบริการน้ำมันพีทีอุตรดิตถ์7 (น้ำมัน+LPG),PT (พีที),17.74413,100.1339,https://maps.google.com/?cid=6969748856561702374&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,6.52,✅,,,,,
PTT Station PTT Wang Si Pump Intersection,PTT (ปตท),17.67777,100.1455,https://maps.google.com/?cid=15821369471720287168&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,7.84,✅,,,,,
ปั๊มน้ำมัน PT อุตรดิตถ์ 2,PT (พีที),17.67218,100.1485,https://maps.google.com/?cid=11278771986035418867&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.7,ระยะทาง+ยุเทิร์น,U-turn ✅,,,,
ปั๊ม บางจาก บมจ.ซัสโก้ สาขา คุ้งตะเภา,Bangchak (บางจาก),17.63092,100.1255,https://maps.google.com/?cid=8646663453208691105&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.79,✅,,,,,
PTT Station (Petrol+EV),PTT (ปตท),17.60529,100.1238,https://maps.google.com/?cid=3038793233568016173&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.26,✅,,,,,
PTT Station (Petrol+EV),PTT (ปตท),17.59659,100.1272,https://maps.google.com/?cid=13700721859978625475&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.58,✅,,,,,
ปั๊มเชลล์อุตรดิตถ์-แยก ช้าง ม้า วัว ควาย-ขาล่องถนนสาย11,Shell (เชลล์),17.59885,100.1263,https://maps.google.com/?cid=14711740618418224447&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0,✅,,,,,
PT (Petroleum Thai Corporation Company Limited),PT (พีที),17.58476,100.1397,https://maps.google.com/?cid=5683488597802410596&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.07,✅,,,,,
ปั๊มน้ำมัน PT (น้ำมัน+LPG) ดงช้างดี,PT (พีที),17.54492,100.1888,https://maps.google.com/?cid=8931369555176819799&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,6.87,✅,,,,,
ปั๊ม บางจาก บมจ.ซัสโก้ สาขา หาดกรวด,Bangchak (บางจาก),17.54326,100.1916,https://maps.google.com/?cid=14196250870349297473&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.57,✅,,,,,
PT Gas Station,PT (พีที),17.492,100.2339,https://maps.google.com/?cid=14938694866901289082&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,7.9,อันนี้งงกับระยะทางกับทางยูเทิร์น,U-turn เล็กๆ✅,,,,
PT,PT (พีที),17.48384,100.2341,https://maps.google.com/?cid=17646776377909723564&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.56,✅,,,,,
ปั๊มน้ำมัน PT พรหมพิราม 2,PT (พีที),17.12129,100.2983,https://maps.google.com/?cid=9245116799132263545&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,47.1,มียูเทิร์นไกล,ไกล ไม่มีปั๊มเลยใน 40 กว่าโล ✅,,,,
Bangchak Fuel Station,Bangchak (บางจาก),17.11727,100.3013,https://maps.google.com/?cid=14845881597610741261&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.02,✅,,,,,
PT Station Phromphiram6 LPG EV,PT (พีที),17.09653,100.3106,https://maps.google.com/?cid=11392321471446056200&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.05,✅,,,,,
Shell วัดโบสถ์,Shell (เชลล์),16.99354,100.327,https://maps.google.com/?cid=6277595728542628848&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,11.62,✅,,,,,
PTT Station,PTT (ปตท),16.98954,100.3272,https://maps.google.com/?cid=10337634876389943258&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.54,✅,,,,,
Bangchak Station (Petrol+EV),Bangchak (บางจาก),16.95868,100.3391,https://maps.google.com/?cid=8963187285091292639&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.98,✅,,,,,
ปั๊มน้ำมัน PT,PT (พีที),16.90802,100.3565,https://maps.google.com/?cid=1478638605762279706&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,5.85,✅,,,,,
ปั๊ม บางจาก บมจ.ซัสโก้ สาขา ดอนทอง,Bangchak (บางจาก),16.88271,100.3585,https://maps.google.com/?cid=17872145197892924944&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.56,✅,,,,,
